model,device,batch,context_length,baseline,tp,footprint_gb,sparsity_fraction,tpot_p50_ms,tpot_p99_ms,status,wall_s,hbm_kv_fraction,effective_attention_context,attention_flops_per_output_token,hbm_read_bytes_per_output_token,hbm_write_bytes_per_output_token,hbf_useful_bytes_per_output_token,hbf_physical_bytes_per_output_token,hbf_link_bytes_per_output_token,energy_coefficients_applied,model_weight_bytes,goodput_per_gpu,hbf_resident_kv_bytes,centroid_scan_bytes,selection_scan_bytes,hbf_program_bytes,hbf_array_read_bytes,nma_macs,hbm_bytes_total,e_gpu_board,hbm_diagnostic_j,hbm_fraction_of_board,e_gpu,e_hbf_read,e_hbf_program,e_hbf_erase,e_bridge,e_link,e_nma,e_total
Qwen/Qwen3-235B-A22B,blackwell,128,131072,Naive,4,3699.8,0.1,97.79046355987344,110.12104366824413,OK,39.9,0.0873114913702011,23406.8826171875,18024423145.6,550781250.0,48128.0,575745196.6,2051725582.60376,2051725582.60376,False,470000000000,327.2302721052917,5757451966.0,0.0,2878725983.0,245972.6081495511,4930451565.60376,0.0,5875192512.0,2.1391663903722318,0.07009104666816,0.03276558896195242,2.1391663903722318,1.2621956007945625,0.0006296898768628508,0.00028149331071802266,0.01641380466083008,0.00820690233041504,0.0,3.4268938813456202
mistralai/Mixtral-8x22B-v0.1,blackwell,32,524288,Sparse,2,4130.3,0.1,52.59291878430343,58.23553786351292,OK,8.6,0.02442642913333,63954.63530970983,44008975286.4,1468750000.0,114688.0,5866079214.400001,5866079214.400001,5866079214.400001,False,282000000000,304.22346524671804,58660792144.0,1833149754.5,1833149754.5,945888.3098238163,7699228968.900001,916574877.25,11750229376.0,2.300940196813275,0.14018023645567998,0.06092302470521611,2.300940196813275,0.9855013080192001,0.001210737036574485,0.0005412416323607347,0.0234643168576,0.0117321584288,0.0003666299509,3.3237565887387106
mistralai/Mixtral-8x22B-v0.1,blackwell,128,131072,Naive,8,4130.3,0.1,54.43280946493916,66.72281251150706,OK,14.2,0.3175435787332909,50566.16475655692,8698998455.4,1193359375.0,28672.0,256473700.9,913969680.52724,913969680.52724,False,282000000000,293.9403671659791,2564737009.0,0.0,1282368504.5,50720.417918731524,2196338185.02724,0.0,11750229376.0,2.3814354140910883,0.14018023645567998,0.05886375739028049,2.3814354140910883,1.1245251507339467,0.0002596885397439054,0.00011608982372756544,0.014623514888435841,0.007311757444217921,0.0,3.52827161552116
Qwen/Qwen3-235B-A22B,blackwell,64,524288,Sparse,4,6929.6,0.1,58.55281564274696,68.63692729019581,OK,17.6,0.0436557456851005,73028.165234375,56235192582.4,1101562500.0,48128.0,2413137036.4,2413137036.4,2413137036.4,False,470000000000,273.25756796431614,24131370364.0,754105323.875,754105323.875,340765.45135713177,3167242360.275,377052661.9375,11750192512.0,2.5616856843701794,0.14017979666816,0.05472170045039107,2.5616856843701794,0.8108140442304,0.0008723595554742574,0.00038997511065345583,0.0193050962912,0.0096525481456,0.00030164212955,3.4030213498330566
mistralai/Mixtral-8x22B-v0.1,blackwell,32,786432,Sparse,2,6054.4,0.1,64.24301757470343,70.26144629231291,OK,11.0,0.0162842860888867,90169.0353097098,62047837929.59999,1468750000.0000002,114688.0,8872556321.599998,8872556321.599998,8872556321.599998,False,282000000000,249.05430354971716,88725563215.99998,2772673850.4999995,2772673850.4999995,1014741.221886479,11645230172.099998,1386336925.2499998,11750229376.0,2.810632018893275,0.14018023645567998,0.04987498737414864,2.810632018893275,1.4905894620287998,0.001298868764014693,0.0005806395846670984,0.035490225286399994,0.017745112643199997,0.0005545347700999999,4.356890861970457
deepseek-ai/deepseek-llm-67b-chat,blackwell,16,262144,Sparse,1,1766.1,0.1,64.8932848000546,64.8932848000546,OK,24.4,0.0330864598876551,34020.47524671053,105904378624.0,3375000000.0,389120.0,9863047328.0,9863047328.0,9863047328.0,False,134000000000,246.55863929986384,98630473280.0,3082202290.0,3082202290.0,2989748.8154529734,12945249618.0,1541101145.0,11750389120.0,2.839081210002389,0.1401821422016,0.04937588319338073,2.839081210002389,0.8284959755519999,0.001913439241889903,0.000855373997341053,0.019726094656,0.009863047328,0.000308220229,3.7002433610066197
Qwen/Qwen3-235B-A22B,blackwell,64,786432,Sparse,4,10159.4,0.1,67.42372528754696,78.73005712059582,OK,20.1,0.0291038304567337,99242.565234375,76421538873.6,1101562500.0,48128.0,3674783679.6,3674783679.6,3674783679.6,False,470000000000,237.30519089183537,36747836796.0,1148369899.875,1148369899.875,381854.36467082327,4823153579.475,574184949.9375,11750192512.0,2.9497879813301795,0.14017979666816,0.04752199058216625,2.9497879813301795,1.2347273163456,0.0009775471735573077,0.0004369976402330283,0.0293982694368,0.0146991347184,0.00045934795995000006,4.230486594604719
Qwen/Qwen3-235B-A22B,blackwell,64,196608,Naive,4,2892.4,0.1,73.70986144774153,85.88239067245757,OK,14.3,0.1164153218269348,40260.165234375,31002259718.4,1101562500.0,48128.0,836078732.4,2979450170.78064,2979450170.78064,False,470000000000,217.06729175367676,8360787323.999999,0.0,4180393661.9999995,207668.97689881752,7159843832.78064,0.0,11750192512.0,3.2248064383386916,0.14017979666816,0.04346921260191224,3.2248064383386916,1.8329200211918437,0.0005316325808609729,0.00023765828349931814,0.02383560136624512,0.01191780068312256,0.0,5.094249152444263
deepseek-ai/deepseek-llm-67b-chat,blackwell,16,393216,Sparse,1,2582.1,0.1,75.0940072320546,75.0940072320546,OK,28.5,0.0220576399251034,47127.675246710525,146706567936.0,3375000000.0,389120.0,14963320992.0,14963320992.0,14963320992.0,False,134000000000,213.06626972984668,149633209920.0,4676037810.0,4676037810.0,3274280.9171511307,19639358802.0,2338018905.0,11750389120.0,3.285362816402388,0.1401821422016,0.0426686944594769,3.285362816402388,1.256918963328,0.002095539786976724,0.0009367792846158402,0.029926641984,0.014963320992,0.000467603781,4.59067166555898
mistralai/Mixtral-8x22B-v0.1,blackwell,128,196608,Naive,8,6054.4,0.1,75.41155251622212,82.9502634724095,OK,16.4,0.2116957191555273,57119.76475655692,9826427370.6,1193359375.0,28672.0,444378520.1,1583587294.22836,1583587294.22836,False,282000000000,212.16908372968678,4443785201.0,0.0,2221892600.5,77797.68036404399,3805479894.72836,0.0,11750229376.0,3.2992554225847175,0.14018023645567998,0.042488446179732076,3.2992554225847175,1.9484057061009203,0.0003983241234639052,0.0001780647591340118,0.02533739670765376,0.01266869835382688,0.0,5.2862436126297165
Qwen/Qwen3-235B-A22B,blackwell,64,131072,Dense,4,2084.9,1.0,78.19814305394695,90.9891370565958,OK,14.0,0.1746229827404022,131072.0,100931731456.0,1101562500.0,48128.0,5206670716.0,5206670716.0,5206670716.0,False,470000000000,204.60843921782129,5206670716.0,0.0,0.0,39723.74508666992,5206670716.0,0.0,11750192512.0,3.4211687586101793,0.14017979666816,0.0409742420087768,3.4211687586101793,1.332907703296,0.00010169278742187499,4.546021852875128e-05,0.041653365728,0.020826682864,0.0,4.81670366350413
mistralai/Mixtral-8x22B-v0.1,blackwell,32,131072,Dense,2,1244.1,1.0,82.89582383070342,89.0307109323129,OK,5.2,0.0977057165333202,131072.0,90194313216.0,1468750000.0,114688.0,13563635536.0,13563635536.0,13563635536.0,False,282000000000,193.01334205540317,13563635536.0,0.0,0.0,103482.32678222656,13563635536.0,0.0,11750229376.0,3.6266922925932743,0.14018023645567998,0.038652365612039226,3.6266922925932743,1.736145348608,0.00013245737828125,5.921306235250085e-05,0.054254542144,0.027127271072,0.0,5.444411124857908
meta-llama/Meta-Llama-3.1-405B,blackwell,128,131072,Sparse,8,9468.7,0.1,86.19193894914878,97.386223799006,OK,69.2,0.080151025146719,22562.19965122768,23288521982.4,677734375.0,64512.0,777798248.9000001,777798248.9000001,777798248.9000001,False,810000000000,185.63220870851535,7777982489.000001,243061952.78125003,243061952.78125003,355508.0872331879,1020860201.6812501,121530976.39062501,11750516096.0,3.770897329025259,0.14018365702528,0.03717514554062815,3.770897329025259,0.5226804232608,0.001820201406633922,0.0008136934369656095,0.012444771982400002,0.006222385991200001,0.00019444956222500003,4.315073254665484
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,131072,Naive,4,3398.2,0.1,87.22778486903343,100.69979387770296,OK,30.6,0.1893280760238045,35441.2486225329,27581797328.000004,2414062500.0,97280.0,1033662166.0,3683558494.757601,3683558494.757601,False,134000000000,183.4277922341248,10336621660.0,0.0,5168310830.0,291655.1211299075,8851869324.7576,0.0,11750389120.0,3.8162155880202127,0.1401821422016,0.03673328693527089,3.8162155880202127,2.266078547137946,0.0007466371100925632,0.0003337727979239359,0.029468467958060806,0.014734233979030403,0.0,6.127577247003266
Qwen/Qwen3-235B-A22B,blackwell,64,262144,Naive,4,3699.8,0.1,88.7502002423911,102.9949590005062,OK,15.3,0.0873114913702011,46813.765234375,36048846291.200005,1101562500.0,48128.0,1151490393.2,4103451165.20752,4103451165.20752,False,470000000000,180.28128338078585,11514903932.0,0.0,5757451966.0,245972.6081495511,9860903131.20752,0.0,11750192512.0,3.882821260604611,0.14017979666816,0.03610256235341927,3.882821260604611,2.524391201589125,0.0006296898768628508,0.00028149331071802266,0.03282760932166016,0.01641380466083008,0.0,6.4573650593638074
meta-llama/Meta-Llama-3.1-405B,blackwell,128,196608,Sparse,8,13798.0,0.1,92.6060547523488,104.137330959006,OK,71.2,0.0534340167644793,29115.79965122768,30053095473.6,677734375.0,64512.0,1200584092.1,1200584092.1,1200584092.1,False,810000000000,172.77488003120212,12005840920.999998,375182528.78124994,375182528.78124994,425233.8454753448,1575766620.88125,187591264.39062497,11750516096.0,4.05151489541526,0.14018365702528,0.03460030646411134,4.05151489541526,0.8067925098911999,0.0021771972888337656,0.0009732830325516009,0.0192093454736,0.0096046727368,0.000300146023025,4.89057204986127
mistralai/Mixtral-8x22B-v0.1,blackwell,128,262144,Naive,8,7978.6,0.1,96.5909277023069,103.3407664600304,OK,17.2,0.1587717893666454,63673.36475655692,10953856285.8,1193359375.0,28672.0,632283339.3000001,2253204907.929481,2253204907.929481,False,282000000000,165.6470269062119,6322833393.0,0.0,3161416696.5,99301.07223285842,5414621604.4294815,0.0,11750229376.0,4.225853086975927,0.14018023645567998,0.03317205628556167,4.225853086975927,2.7722862614678947,0.0005084214898322351,0.00022728211723218938,0.0360512785268717,0.01802563926343585,0.0,7.052951969841193
meta-llama/Meta-Llama-3.1-405B,blackwell,128,262144,Sparse,8,18127.3,0.1,99.2645231395488,110.888634331806,OK,87.7,0.0400755125733595,35669.39965122768,36817668964.8,677734375.0,64512.0,1623369935.3,1623369935.3,1623369935.3,False,810000000000,161.18548192194265,16233699352.999998,507303104.78124994,507303104.78124994,469337.93732087815,2130673040.08125,253651552.39062497,11750516096.0,4.3428228873552595,0.14018365702528,0.03227938616457154,4.3428228873552595,1.0909045965216,0.002403010239082896,0.0010742292876912188,0.0259739189648,0.0129869594824,0.000405842483825,5.476571444334658
mistralai/Mixtral-8x22B-v0.1,blackwell,16,1048576,Sparse,2,4130.3,0.1,53.32104949645319,53.32104949645319,OK,12.8,0.02442642913333,127909.27061941964,88017950572.8,2937500000.0,114688.0,11732158428.8,11732158428.8,11732158428.8,False,282000000000,150.03455625028806,117321584287.99998,3666299508.9999995,3666299508.9999995,945888.3098238164,15398457937.8,1833149754.4999998,23500229376.0,4.665591830939654,0.28035773645567996,0.060090497972090214,4.665591830939654,1.9710026160383998,0.0012107370365744851,0.0005412416323607348,0.046928633715199994,0.023464316857599997,0.0007332599017999999,6.709472636121588
Qwen/Qwen3-235B-A22B,blackwell,32,1048576,Sparse,4,6929.6,0.1,61.71030256978894,61.71030256978894,OK,15.8,0.0436557456851005,146056.33046875,112470385164.8,2203125000.0,48128.0,4826274072.8,4826274072.8,4826274072.8,False,470000000000,129.63799668544328,48262740728.0,1508210647.75,1508210647.75,340765.45135713177,6334484720.55,754105323.875,23500192512.0,5.399651474856532,0.28035729666815995,0.05192136899458108,5.399651474856532,1.6216280884608,0.0008723595554742574,0.00038997511065345583,0.0386101925824,0.0193050962912,0.0006032842591,7.08106047111616
deepseek-ai/deepseek-llm-67b-chat,blackwell,8,524288,Sparse,1,1766.1,0.1,64.73304654008429,64.73304654008429,OK,32.0,0.0330864598876551,68040.95049342106,211808757248.0,6750000000.0,389120.0,19726094656.0,19726094656.0,19726094656.0,False,134000000000,123.58448161475305,197260946560.0,6164404580.0,6164404580.0,2989748.8154529734,25890499236.0,3082202290.0,23500389120.0,5.664141572257375,0.2803596422016,0.04949728721026054,5.664141572257375,1.6569919511039999,0.001913439241889903,0.000855373997341053,0.039452189312,0.019726094656,0.000616440458,7.383697061026605
mistralai/Mixtral-8x22B-v0.1,blackwell,32,196608,Dense,4,1725.1,1.0,65.50875123902703,71.60952780343595,OK,5.5,0.3256857217777343,196608.0,67645734912.0,3671875000.0,57344.0,7602414152.000002,7602414152.000002,7602414152.000002,False,282000000000,122.12108838420318,7602414152.000002,0.0,0.0,38667.877970377616,7602414152.000002,0.0,23500229376.0,5.732015733414866,0.28035773645567996,0.04891084558985604,5.732015733414866,1.9462180229120005,9.89897676041667e-05,4.42518745083362e-05,0.060819313216000016,0.030409656608000008,0.0,7.769605967792979
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,196608,Naive,8,5030.3,0.1,68.02997459781251,79.45906457890136,OK,32.2,0.2798052471980713,69171.55503700658,26916035496.0,2675781249.9999995,48640.0,688723187.0,2454333949.1932,2454333949.1932,False,134000000000,117.59522250736278,6887231870.0,0.0,3443615935.0,99567.39972544136,5897949884.1932,0.0,23500389119.999996,5.952622777308595,0.2803596422016,0.04709850643825966,5.952622777308595,3.0197503407069184,0.0005097850865942598,0.0002278916924868195,0.0392693431870912,0.0196346715935456,0.0,9.032014809575232
Qwen/Qwen3-235B-A22B,blackwell,32,196608,Dense,4,1681.2,1.0,71.44403174738895,71.44403174738895,OK,7.3,0.2328306436538696,196608.0,151397597184.0,2203125000.0,48128.0,7259224824.0,7259224824.0,7259224824.0,False,470000000000,111.97576346595774,7259224824.0,0.0,0.0,36922.32678222656,7259224824.0,0.0,23500192512.0,6.251352777896533,0.28035729666815995,0.0448474604823846,6.251352777896533,1.858361554944,9.45211565625e-05,4.225424970500171e-05,0.058073798592,0.029036899296,0.0,8.1969618061348
mistralai/Mixtral-8x22B-v0.1,blackwell,32,393216,Naive,4,3168.2,0.1,71.77935493345008,77.71837215689004,OK,7.0,0.1628428608888671,96950.77654854913,33357271982.4,3671875000.0,57344.0,1887670330.4000003,6726901989.413442,6726901989.413442,False,282000000000,111.45265943692536,18876703304.000004,0.0,9438351652.000002,194703.99285092158,16165253641.413445,0.0,23500229376.0,6.280693556676883,0.28035773645567996,0.04463802188814595,6.280693556676883,4.138304932201842,0.0004984422216983592,0.00022282103674040404,0.05381521591530753,0.026907607957653765,0.0,10.500442576010123
deepseek-ai/deepseek-llm-67b-chat,blackwell,8,786432,Sparse,1,2582.1,0.1,74.93394407608427,74.93394407608427,OK,40.8,0.0220576399251034,94255.35049342104,293413135872.0,6750000000.0,389120.0,29926641984.0,29926641984.0,29926641984.0,False,134000000000,106.7606956852183,299266419840.0,9352075620.0,9352075620.0,3274280.9171511317,39278717604.0,4676037810.0,23500389120.0,6.556720106657375,0.2803596422016,0.042759129205002425,6.556720106657375,2.513837926656,0.0020955397869767242,0.0009367792846158404,0.059853283968,0.029926641984,0.000935207562,9.164305485898968
Qwen/Qwen3-235B-A22B,blackwell,32,393216,Naive,4,2892.4,0.1,78.95467476275151,78.95467476275151,OK,8.9,0.1164153218269348,80520.33046875,62004519436.8,2203125000.0,48128.0,1672157464.8,5958900341.56128,5958900341.56128,False,470000000000,101.32395610568919,16721574647.999998,0.0,8360787323.999999,207668.97689881752,14319687665.56128,0.0,23500192512.0,6.908534041740756,0.28035729666815995,0.04058130060216332,6.908534041740756,3.6658400423836874,0.0005316325808609729,0.00023765828349931814,0.04767120273249024,0.02383560136624512,0.0,10.646650179087539
meta-llama/Meta-Llama-3.1-405B,blackwell,64,393216,Sparse,8,13798.0,0.1,78.9949303976824,90.46122141067032,OK,45.8,0.0534340167644793,58231.59930245535,60106190947.2,1355468750.0,64512.0,2401168184.2000003,2401168184.2000003,2401168184.2000003,False,810000000000,101.27232165058923,24011681842.0,750365057.5625,750365057.5625,425233.8454753449,3151533241.7625003,375182528.78125,23500516096.0,6.912056409797209,0.28036115702528,0.04056117896085073,6.912056409797209,1.6135850197824002,0.002177197288833766,0.0009732830325516012,0.038418690947200004,0.019209345473600002,0.0006002920460500001,8.587020238367845
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,131072,Dense,8,3398.2,1.0,80.01714952821891,93.09791149868376,OK,30.9,0.4197078707971071,131072.0,51002736640.0,2675781250.0,48640.0,3699560830.0,3699560830.0,3699560830.0,False,134000000000,99.97856768415268,3699560830.0,0.0,0.0,28225.40916442871,3699560830.0,0.0,23500389120.0,7.001500583719155,0.2803596422016,0.040042793519653556,7.001500583719155,1.89417514496,0.00014451409492187499,6.460283469641582e-05,0.05919297328,0.02959648664,0.0,8.984674305528772
mistralai/Mixtral-8x22B-v0.1,blackwell,32,262144,Dense,4,2206.1,1.0,80.42401893502701,86.64191333943593,OK,6.2,0.2442642913333007,262144.0,90194313216.0,3671875000.0,57344.0,11360510536.0,11360510536.0,11360510536.0,False,282000000000,99.47277077091911,11360510536.0,0.0,0.0,43336.9084777832,11360510536.0,0.0,23500229376.0,7.037101656814864,0.28035773645567996,0.039839944074728004,7.037101656814864,2.908290697216,0.000110942485703125,4.9595155881252136e-05,0.090884084288,0.045442042144,0.0,10.081879018104447
deepseek-ai/deepseek-llm-67b-chat,blackwell,64,262144,Naive,8,6662.4,0.1,83.2304159566861,96.75379695954776,OK,34.7,0.2098539353985535,75725.15503700658,29466172328.0,2675781250.0,48640.0,1007490291.0,3590292401.0076,3590292401.0076,False,134000000000,96.11870742257584,10074902910.0,0.0,5037451455.0,133045.6557675773,8627743856.007599,0.0,23500389120.0,7.282661396210035,0.2803596422016,0.038496866316962336,7.282661396210035,4.41740485427589,0.0006811937575299956,0.00030451733955591726,0.057444678416121595,0.028722339208060797,0.0,11.787218979207193
Qwen/Qwen3-235B-A22B,blackwell,32,262144,Dense,4,2084.9,1.0,84.06049817938894,84.06049817938894,OK,8.1,0.1746229827404022,262144.0,201863462912.0,2203125000.0,48128.0,10413341432.0,10413341432.0,10413341432.0,False,470000000000,95.1695525635315,10413341432.0,0.0,0.0,39723.74508666992,10413341432.0,0.0,23500192512.0,7.355293590696533,0.28035729666815995,0.038116397831185776,7.355293590696533,2.665815406592,0.00010169278742187499,4.546021852875128e-05,0.083306731456,0.041653365728,0.0,10.146216247478481
meta-llama/Meta-Llama-3.1-405B,blackwell,64,524288,Sparse,8,18127.3,0.1,85.3367470760824,97.22582393227034,OK,26.0,0.0400755125733595,71338.79930245536,73635337929.6,1355468750.0,64512.0,3246739870.6,3246739870.6,3246739870.6,False,810000000000,93.74624970023241,32467398705.999996,1014606209.5624999,1014606209.5624999,469337.93732087815,4261346080.1625,507303104.78124994,23500516096.0,7.466965369157211,0.28036115702528,0.03754686718962567,7.466965369157211,2.1818091930432,0.002403010239082896,0.0010742292876912188,0.0519478379296,0.0259739189648,0.00081168496765,9.730985243589235
meta-llama/Meta-Llama-3.1-405B,blackwell,64,131072,Naive,8,5139.3,0.1,86.93691327695537,98.93271831242522,OK,21.7,0.160302050293438,32017.19930245536,33047896982.4,1355468750.0,64512.0,710024811.4000001,2530244417.9050407,2530244417.9050407,False,810000000000,92.02075043214796,7100248114.000001,0.0,3550124057.0000005,221763.56048280248,6080368474.905041,0.0,23500516096.0,7.606979911733594,0.28036115702528,0.03685577723070219,7.606979911733594,3.113148659151381,0.0011354294296719487,0.0005075765086734065,0.04048391068648065,0.020241955343240324,0.0,10.78249744285304
mistralai/Mixtral-8x22B-v0.1,blackwell,32,524288,Naive,4,4130.3,0.1,91.53161215151856,98.1077958263838,OK,8.8,0.1221321456666503,110057.97654854912,37866987643.2,3671875000.0,57344.0,2639289607.2000003,9405372444.21792,9405372444.21792,False,282000000000,87.40149782085179,26392896072.0,0.0,13196448036.0,239809.0252037069,22601820480.21792,0.0,23500229376.0,8.009016063257874,0.28035773645567996,0.035005265845557215,8.009016063257874,5.786066042935787,0.0006139111045214896,0.0002744396498150332,0.07524297955374336,0.03762148977687168,0.0,13.908834926278612
Qwen/Qwen3-235B-A22B,blackwell,32,524288,Naive,4,3699.8,0.1,96.06721045135308,96.06721045135308,OK,11.4,0.0873114913702011,93627.53046875,72097692582.40001,2203125000.0,48128.0,2302980786.4,8206902330.41504,8206902330.41504,False,470000000000,83.27503174510385,23029807864.0,0.0,11514903932.0,245972.6081495511,19721806262.41504,0.0,23500192512.0,8.405880914493395,0.28035729666815995,0.03335251825716074,8.405880914493395,5.04878240317825,0.0006296898768628508,0.00028149331071802266,0.06565521864332031,0.03282760932166016,0.0,13.554057328824207
